gene	BF_misA	BF_misB	BF_pLOF_denovo_cc	BF_total_denovo_cc	qval_denovo_cc	BF_pLOF_denovo_only	BF_total_denovo_only	qval_denovo_only	oe_lof_upper	oe_lof_upper_bin	mut.cls1	dn.cls1	mut.cls2	dn.cls2	mut.cls3	dn.cls3	case.cls3	ctrl.cls3	cds_length	category
EP300	6.65645	3.02785	124.938	2518.08	0.00295697	65.669	1323.54	0.00504631	0.099	0	7.32E-06	1	1.13E-05	1	1.18E-05	2	1	0	7242	both
RYR3	39.1846	2.11737	28.6251	2374.98	0.00372615	14.628	1213.67	0.00607382	0.279	1	1.55E-05	2	2.40E-05	1	2.30E-05	2	3	1	14610	both
SETD5	10.6917	0.847947	18.5796	168.443	0.0478377	132.169	1198.24	0.00704496	0.227	0	4.30E-06	1	6.67E-06	0	6.87E-06	2	0	0	4326	both
ACTB	17.0324	4.02992	1.89995	130.411	0.0668082	13.6558	937.321	0.00825526	0.232	0	1.41E-06	1	2.18E-06	1	2.18E-06	1	0	0	1125	both
ANKRD11	0.181434	0.661042	1104.09	132.42	0.0628329	7762.44	930.993	0.00939657	0.107	0	1.14E-05	0	1.76E-05	0	1.96E-05	4	0	0	7989	both
WAC	0.76606	3.96931	31.9556	97.1684	0.0912178	229.02	696.388	0.0108995	0.084	0	1.71E-06	0	2.65E-06	1	3.13E-06	2	0	0	1941	both
SOS1	12.0616	112.561	0.0592359	80.4222	0.115037	0.422356	573.416	0.0126592	0.14	0	3.55E-06	1	5.50E-06	3	6.43E-06	0	0	0	3999	denovo_only
KAT6A	0.374791	0.785014	211.286	62.1636	0.136949	1494.34	439.659	0.0165998	0.069	0	6.42E-06	0	9.95E-06	0	1.06E-05	3	0	0	6012	denovo_only
EEF2	11.8042	3.59989	1.31501	55.8798	0.141557	9.40991	399.863	0.0188062	0.172	0	3.68E-06	1	5.71E-06	1	4.82E-06	1	0	0	2574	denovo_only
PPP1CB	409.13	0.963349	0.111771	44.0527	0.160176	0.803822	316.815	0.023507	0.147	0	9.50E-07	2	1.47E-06	0	1.60E-06	0	0	0	981	denovo_only
ZDHHC18	391.649	0.953802	0.211293	78.9296	0.119017	0.742979	277.544	0.0263078	0.805	4	1.21E-06	2	1.87E-06	0	2.18E-06	0	0	1	1164	denovo_only
KPNA1	379.817	0.947162	0.0951151	34.2176	0.199926	0.682771	245.626	0.0293361	0.245	0	1.39E-06	2	2.15E-06	0	2.81E-06	0	0	0	1614	denovo_only
KLF2	19.3489	0.975555	1.78447	33.6834	0.204573	12.8284	242.148	0.0322606	0.71	3	6.28E-07	1	9.74E-07	0	2.63E-06	1	0	0	1065	denovo_only
SMAD4	363.655	0.937845	0.0985582	33.6135	0.209108	0.707396	241.259	0.035057	0.222	0	1.64E-06	2	2.54E-06	0	2.54E-06	0	0	0	1656	denovo_only
RPL5	0.863112	0.963651	528.439	439.523	0.0190372	283.187	235.537	0.037795	0.167	0	9.42E-07	0	1.46E-06	0	1.72E-06	2	1	0	891	both
BRD4	9.49551	3.36927	1.00166	32.0462	0.218045	7.13571	228.293	0.0405015	0.048	0	5.05E-06	1	7.83E-06	1	6.81E-06	1	0	0	4086	denovo_only
POGZ	0.501867	3.46439	18.0642	31.4075	0.222451	128.546	223.497	0.0431505	0.119	0	4.47E-06	0	6.93E-06	1	7.07E-06	2	0	0	4230	denovo_only
PTEN	0.846815	0.959059	77.3305	62.8037	0.13261	271.771	220.717	0.045721	0.507	2	1.06E-06	0	1.65E-06	0	1.99E-06	2	0	1	1209	denovo_only
MAP3K7	352.754	0.931388	0.0909891	29.8946	0.231143	0.652761	214.465	0.0482657	0.212	0	1.82E-06	2	2.82E-06	0	3.14E-06	0	0	0	1818	denovo_only
GATA4	0.813531	0.949486	268.656	207.52	0.040077	269	207.786	0.0507963	0.527	2	1.32E-06	0	2.05E-06	0	2.06E-06	2	2	1	1326	both
TBX5	16.6903	0.941733	24.0888	378.623	0.0313894	12.8845	202.515	0.0532981	0.135	0	1.53E-06	1	2.38E-06	0	2.58E-06	1	1	0	1554	both
MEIS2	0.79734	0.94473	35.2849	26.5791	0.271015	253.491	190.947	0.0558717	0.184	0	1.45E-06	0	2.25E-06	0	2.46E-06	2	0	0	1431	denovo_only
CTCF	311.956	0.905845	0.0933339	26.3746	0.278293	0.668873	189.012	0.0583742	0.148	0	2.55E-06	2	3.95E-06	0	2.95E-06	0	0	0	2181	denovo_only
FRYL	0.291419	0.739093	6064.74	1306.26	0.00722683	869.394	187.255	0.0608074	0.272	1	8.12E-06	0	1.26E-05	0	1.43E-05	3	5	1	9039	both
OSBP	323.212	0.913126	0.0813968	24.0229	0.308891	0.58294	172.045	0.0633962	0.26	0	2.34E-06	2	3.62E-06	0	3.99E-06	0	0	0	2421	denovo_only
HNRNPK	0.776288	0.938442	31.9951	23.3085	0.321298	229.716	167.349	0.0659712	0.096	0	1.63E-06	0	2.52E-06	0	3.12E-06	2	0	0	1392	denovo_only
TCF12	15.6123	0.926914	11.4959	166.36	0.0515416	11.485	166.202	0.0684727	0.372	1	1.95E-06	1	3.02E-06	0	3.39E-06	1	2	1	2118	both
AGO3	299.52	0.897576	0.0802536	21.5755	0.349749	0.57448	154.444	0.071102	0.193	0	2.79E-06	2	4.32E-06	0	4.10E-06	0	0	0	2580	denovo_only
FGFR2	298.221	0.896698	0.0749216	20.0351	0.367716	0.53651	143.471	0.0764597	0.27	1	2.81E-06	2	4.36E-06	0	4.62E-06	0	0	0	2466	denovo_only
CTNNA1	286.213	0.888444	0.017853	4.53973	0.642416	0.538459	136.922	0.079177	0.313	1	3.06E-06	2	4.74E-06	0	4.59E-06	0	0	3	2718	denovo_only
NAA15	0.73105	0.924514	27.8228	18.8045	0.389166	198.98	134.484	0.081858	0.28	1	2.01E-06	0	3.12E-06	0	4.08E-06	2	0	0	2598	denovo_only
CTNNB1	0.6829	0.909006	29.7029	18.4384	0.393686	212.601	131.974	0.0845078	0.129	0	2.46E-06	0	3.81E-06	0	3.63E-06	2	0	0	2343	denovo_only
HNRNPU	14.8591	0.916118	1.27888	17.409	0.408888	9.15587	124.636	0.0872446	0.114	0	2.25E-06	1	3.49E-06	0	5.02E-06	1	0	0	2475	denovo_only
COPB2	14.6496	0.913045	2.64097	35.325	0.185549	9.24084	123.603	0.0899195	0.089	0	2.34E-06	1	3.63E-06	0	4.95E-06	1	0	1	2718	denovo_only
BRF1	13.5996	0.89715	36.2695	442.52	0.0166547	10.1076	123.321	0.0925177	0.602	3	2.80E-06	1	4.34E-06	0	4.32E-06	1	2	0	2031	both
U2SURP	14.0198	0.903614	1.33994	16.9751	0.4211	9.57271	121.272	0.0950853	0.077	0	2.61E-06	1	4.05E-06	0	4.69E-06	1	0	0	3087	denovo_only
ELN	0.659124	0.901062	721.113	428.277	0.0213339	201.154	119.468	0.0976188	0.871	4	2.69E-06	0	4.16E-06	0	4.01E-06	2	4	1	2172	both
TAOK1	289.013	0.890391	1.64614	423.607	0.0235152	0.45753	117.738	0.100119	0.274	1	3.00E-06	2	4.65E-06	0	5.84E-06	0	2	0	3003	denovo_cc_only
ROCK2	268.549	0.875829	0.705127	165.848	0.0550849	0.37449	88.081	0.117528	0.215	0	3.44E-06	2	5.33E-06	0	7.37E-06	0	1	0	4164	denovo_cc_only
ZEB2	11.6489	0.865106	15.3035	154.221	0.058741	8.1344	81.975	0.131609	0.107	0	3.77E-06	1	5.84E-06	0	5.86E-06	1	1	0	3642	denovo_cc_only
ZMIZ1	0.504342	0.843661	293.154	124.735	0.0707917	155.943	66.3529	0.143326	0.252	0	4.44E-06	0	6.88E-06	0	5.74E-06	2	1	0	3201	denovo_cc_only
PLXNC1	10.6313	0.846828	13.1538	118.423	0.074817	6.96957	62.7465	0.155142	0.273	1	4.34E-06	1	6.73E-06	0	6.97E-06	1	1	0	4704	denovo_cc_only
JAG1	0.518202	0.849272	266.895	117.459	0.0787104	141.774	62.3941	0.158015	0.146	0	4.26E-06	0	6.61E-06	0	6.39E-06	2	1	0	3654	denovo_cc_only
ACTC1	16.9614	4.0247	1.41437	96.5508	0.0952615	0.757649	51.7204	0.178853	0.48	2	1.44E-06	1	2.22E-06	1	2.04E-06	0	1	0	1131	denovo_cc_only
FLT4	0.405057	0.799871	5465.88	1770.91	0.00612374	112.803	36.5474	0.216223	0.147	0	5.90E-06	0	9.14E-06	0	7.99E-06	2	8	1	4089	denovo_cc_only
EXT2	14.0723	3.79919	4.28454	229.066	0.0366602	0.620425	33.1701	0.234072	0.766	4	2.59E-06	1	4.01E-06	1	3.52E-06	0	3	0	2253	denovo_cc_only
TMEM245	0.718926	0.920678	261.677	173.204	0.0439988	10.1143	6.69467	0.67532	0.593	3	2.12E-06	0	3.29E-06	0	4.30E-06	1	5	0	2637	denovo_cc_only
