gene	BF.misA	BF.misB	BF.pLoF	BF.total	qval	pval	oe_lof_upper	oe_lof_upper_bin	dn.misA	dn.misB	dn.pLoF	case.pLoF	ctrl.pLoF
BRF1	13.5996	0.89715	36.2695	442.52	0.0166547	4.38299e-05	0.602	3	1	0	1	2	0
RPL5	0.863112	0.963651	528.439	439.523	0.0190372	4.40908e-05	0.167	0	0	0	2	1	0
ELN	0.659124	0.901062	721.113	428.277	0.0213339	4.66997e-05	0.871	4	0	0	2	4	1
TAOK1	289.013	0.890391	1.64614	423.607	0.0235152	4.77433e-05	0.274	1	2	0	0	2	0
EVC2	0.525979	0.852375	942.466	422.537	0.0255708	4.77433e-05	1.064	5	0	0	2	3	0
PACS1	6448.65	0.88524	0.073632	420.336	0.0275182	4.82651e-05	0.185	0	3	0	0	0	0
FOXP1	15.3305	0.922919	29.0987	411.712	0.0294041	4.98304e-05	0.175	0	1	0	2	0	0
TBX5	16.6903	0.941733	24.0888	378.623	0.0313894	5.60918e-05	0.135	0	1	0	1	1	0
MSLNL	0.521363	0.850537	802.507	355.863	0.0334231	6.15706e-05	1.378	7	0	0	3	0	0
EXT2	14.0723	3.79919	4.28454	229.066	0.0366602	9.78346e-05	0.766	4	1	1	0	3	0
GATA4	0.813531	0.949486	268.656	207.52	0.040077	0.000110618	0.527	2	0	0	2	2	1
TMEM245	0.718926	0.920678	261.677	173.204	0.0439988	0.000140882	0.593	3	0	0	1	5	0
SETD5	10.6917	0.847947	18.5796	168.443	0.0478377	0.000144534	0.227	0	1	0	2	0	0
TCF12	15.6123	0.926914	11.4959	166.36	0.0515416	0.000145839	0.372	1	1	0	1	2	1
ROCK2	268.549	0.875829	0.705127	165.848	0.0550849	0.000145839	0.215	0	2	0	0	1	0
ZEB2	11.6489	0.865106	15.3035	154.221	0.058741	0.000156274	0.107	0	1	0	1	1	0
ANKRD11	0.181434	0.661042	1104.09	132.42	0.0628329	0.000182885	0.107	0	0	0	4	0	0
ACTB	17.0324	4.02992	1.89995	130.411	0.0668082	0.000185233	0.232	0	1	1	1	0	0
ZMIZ1	0.504342	0.843661	293.154	124.735	0.0707917	0.000195669	0.252	0	0	0	2	1	0
PLXNC1	10.6313	0.846828	13.1538	118.423	0.074817	0.000205583	0.273	1	1	0	1	1	0
JAG1	0.518202	0.849272	266.895	117.459	0.0787104	0.000207409	0.146	0	0	0	2	1	0
TMPRSS7	0.72265	0.921861	163.569	108.967	0.0827459	0.000222541	1.097	6	0	0	1	4	0
LZTR1	265.272	3.63037	0.102021	98.2492	0.087042	0.000250717	1.994	9	2	1	0	3	3
WAC	0.76606	3.96931	31.9556	97.1684	0.0912178	0.000252805	0.084	0	0	1	2	0	0
ACTC1	16.9614	4.0247	1.41437	96.5508	0.0952615	0.000255935	0.48	2	1	1	0	1	0
GPBAR1	0.810004	4.04191	29.3747	96.1716	0.099171	0.00025724	1.951	9	0	1	1	1	0
SSH2	245.522	0.858435	0.437872	92.288	0.103099	0.000272111	0.278	1	2	0	0	2	1
RYR2	882.345	0.587101	0.177861	92.1365	0.106893	0.000272632	0.25	0	3	0	0	4	1
RUVBL1	0.807519	4.03787	25.2321	82.2732	0.110991	0.000320637	0.194	0	0	1	1	1	0
SOS1	12.0616	112.561	0.0592359	80.4222	0.115037	0.00033055	0.14	0	1	3	0	0	0
ZDHHC18	391.649	0.953802	0.211293	78.9296	0.119017	0.000337334	0.805	4	2	0	0	0	1
TBX18	0.759581	3.95839	21.7998	65.5459	0.123587	0.00043282	0.193	0	0	1	1	3	1
MAVS	0.746647	0.929383	90.6337	62.8927	0.12817	0.000454213	1.296	7	0	0	1	3	0
PTEN	0.846815	0.959059	77.3305	62.8037	0.13261	0.000455779	0.507	2	0	0	2	0	1
KAT6A	0.374791	0.785014	211.286	62.1636	0.136949	0.000465171	0.069	0	0	0	3	0	0
EEF2	11.8042	3.59989	1.31501	55.8798	0.141557	0.000533003	0.172	0	1	1	1	0	0
DISP1	10.5747	0.845775	5.83158	52.1566	0.150721	0.000583616	0.596	3	1	0	0	4	0
KMT2C	2.69641	0.620995	30.5723	51.1919	0.15524	0.0006024	0.122	0	1	0	2	1	0
PPP1CB	409.13	0.963349	0.111771	44.0527	0.160176	0.000756848	0.147	0	2	0	0	0	0
AGPAT5	0.849136	0.959717	51.7008	42.1326	0.16513	0.000812679	0.979	5	0	0	1	2	0
TBX1	17.5061	0.952498	2.27448	37.9258	0.170319	0.000963997	0.427	2	1	0	0	2	0
IPP	16.4812	0.938914	2.40413	37.2024	0.175428	0.000988521	0.687	3	1	0	0	2	0
SLC22A10	0.786612	0.94154	48.1316	35.6476	0.180543	0.00105061	1.543	8	0	0	1	2	0
COPB2	14.6496	0.913045	2.64097	35.325	0.185549	0.00106157	0.089	0	1	0	1	0	1
MATN2	0.61615	0.886176	64.2161	35.0631	0.195207	0.00107435	0.875	4	0	0	1	3	0
KPNA1	379.817	0.947162	0.0951151	34.2176	0.199926	0.00111114	0.245	0	2	0	0	0	0
KLF2	19.3489	0.975555	1.78447	33.6834	0.204573	0.00113566	0.71	3	1	0	1	0	0
SMAD4	363.655	0.937845	0.0985582	33.6135	0.209108	0.00114062	0.222	0	2	0	0	0	0
PGM2	0.774895	0.938022	45.3227	32.9437	0.21359	0.00117584	0.958	5	0	0	1	2	0
BRD4	9.49551	3.36927	1.00166	32.0462	0.218045	0.00122228	0.048	0	1	1	1	0	0
POGZ	0.501867	3.46439	18.0642	31.4075	0.222451	0.00125437	0.119	0	0	1	2	0	0
ARFGEF2	0.423511	16.4034	4.43763	30.8283	0.226804	0.00128881	0.249	0	0	2	0	4	0
MAP3K7	352.754	0.931388	0.0909891	29.8946	0.231143	0.00135038	0.212	0	2	0	0	0	0
ZNF618	0.573186	3.61476	14.4154	29.8678	0.235382	0.00135351	0.257	0	0	1	1	1	0
LRIT1	0.713833	0.919054	44.258	29.0355	0.2396	0.00142265	1.566	8	0	0	1	2	0
RASA2	0.730193	3.90808	10.036	28.6392	0.24376	0.00146047	1.196	6	0	1	1	2	1
HSP90AA1	0.699839	19.9998	2.02323	28.3185	0.247854	0.00149283	0.353	1	0	2	0	2	0
ANKRD50	11.5403	0.863211	2.8309	28.2005	0.251868	0.0015017	0.305	1	1	0	0	3	0
CPSF1	7.3545	3.11957	1.22786	28.1707	0.255793	0.00150483	0.54	2	1	1	0	2	0
CDK5R2	18.7957	0.968805	1.52026	27.683	0.259678	0.00154631	0.601	3	1	0	0	1	0
IFNK	0.930329	0.981968	30.0587	27.4602	0.263499	0.00156744	1.896	9	0	0	1	1	0
SNX14	15.0406	0.918755	1.95829	27.0609	0.267275	0.0016024	0.827	4	1	0	0	4	1
MEIS2	0.79734	0.94473	35.2849	26.5791	0.271015	0.00166632	0.184	0	0	0	2	0	0
FN3K	0.826312	4.06821	7.85843	26.417	0.274691	0.00168197	1.363	7	0	1	1	1	1
CTCF	311.956	0.905845	0.0933339	26.3746	0.278293	0.00168745	0.148	0	2	0	0	0	0
SIAE	0.775267	0.938134	35.1771	25.5845	0.281896	0.00178555	1.159	6	0	0	0	6	0
CTR9	12.138	0.873484	2.38373	25.2731	0.285453	0.00183459	0.135	0	1	0	1	0	1
SOWAHB	0.716756	0.919987	37.6241	24.8095	0.292413	0.00189016	0.718	3	0	0	1	2	0
GOSR2	0.891379	0.971472	28.4816	24.6636	0.295815	0.00191364	1.347	7	0	0	1	1	0
EXOSC4	18.3132	0.962801	1.39447	24.5873	0.299158	0.00192225	0.976	5	1	0	0	1	0
ABI2	0.80593	21.1601	1.43405	24.4557	0.302447	0.00194313	0.46	2	0	2	0	1	0
ZMYND19	0.878773	0.968006	28.5357	24.2741	0.305688	0.00197	0.34	1	0	0	1	1	0
OSBP	323.212	0.913126	0.0813968	24.0229	0.308891	0.00201226	0.26	0	2	0	0	0	0
KANSL1	0.562639	0.866576	48.5049	23.6495	0.312067	0.00207148	0.238	0	0	0	2	0	1
CTSZ	0.853214	0.96087	28.7662	23.5834	0.315189	0.00207983	1.919	9	0	0	1	1	0
PRSS48	0.860649	0.962961	28.2737	23.4324	0.318267	0.0020994	1.829	9	0	0	1	1	0
HNRNPK	0.776288	0.938442	31.9951	23.3085	0.321298	0.0021221	0.096	0	0	0	2	0	0
COQ3	0.872098	0.966156	27.318	23.0177	0.324301	0.00216619	1.344	7	0	0	1	1	0
HOXA10	18.2203	0.961632	1.30429	22.8528	0.327264	0.00219515	0.416	1	1	0	0	1	0
STK38L	17.5232	0.95272	1.3635	22.7632	0.330181	0.00220819	0.348	1	1	0	0	1	0
COX18	0.854264	0.961166	27.039	22.2014	0.333097	0.00232064	1.697	8	0	0	1	1	0
SESN3	17.0743	0.946847	1.37302	22.1972	0.335961	0.0023209	0.409	1	1	0	0	1	0
NTM	0.831915	0.954807	27.5608	21.8921	0.338803	0.00237621	0.651	3	0	0	1	1	0
PREX2	223.288	0.840466	0.116623	21.8862	0.341596	0.00237725	0.611	3	2	0	0	2	2
UPF1	218.621	0.836529	0.11931	21.8198	0.344346	0.00239786	0.162	0	2	0	0	0	1
FEZ2	0.872202	0.966185	25.6115	21.583	0.34707	0.00243491	1.474	7	0	0	1	1	0
AGO3	299.52	0.897576	0.0802536	21.5755	0.349749	0.00243517	0.193	0	2	0	0	0	0
ZNF174	0.82302	0.952243	27.3489	21.4337	0.352395	0.00245813	0.705	3	0	0	1	1	0
LEF1	17.6524	0.954392	1.27137	21.4191	0.354998	0.00246126	0.212	0	1	0	0	1	0
CNOT6	16.7215	0.942152	1.357	21.3784	0.357562	0.00246621	0.548	2	1	0	0	1	0
ANKMY2	0.842979	0.95797	25.9931	20.9907	0.360117	0.00253535	0.924	5	0	0	1	3	1
PCBP3	0.814036	0.949634	26.7202	20.6557	0.36266	0.0025964	0.386	1	0	0	1	1	0
KCNJ5	0.776637	0.938547	27.6891	20.1829	0.365202	0.00268432	1.142	6	0	0	1	1	0
FGFR2	298.221	0.896698	0.0749216	20.0351	0.367716	0.0027125	0.27	1	2	0	0	0	0
TGFBR2	15.7199	0.928426	1.34641	19.6506	0.372672	0.00280564	0.519	2	1	0	0	1	0
KDM5A	9.47751	3.36734	0.612802	19.5569	0.37511	0.00283016	0.163	0	1	1	0	1	0
TBC1D19	0.817874	0.950751	25.0694	19.4938	0.377516	0.00284947	0.528	2	0	0	1	1	0
TTLL1	16.3482	0.937107	1.27074	19.4677	0.379887	0.00286121	0.87	4	1	0	0	1	0
WFDC1	0.905256	0.975248	21.9174	19.3498	0.382231	0.00288651	1.716	8	0	0	0	5	0
PHF10	0.817899	0.950758	24.5586	19.0974	0.384562	0.00294078	0.644	3	0	0	1	1	0
NAA15	0.73105	0.924514	27.8228	18.8045	0.389166	0.00300652	0.28	1	0	0	2	0	0
DNAJC3	0.809062	0.94818	24.211	18.5731	0.391437	0.00306131	0.516	2	0	0	1	1	0
CTNNB1	0.6829	0.909006	29.7029	18.4384	0.393686	0.0030934	0.129	0	0	0	2	0	0
DBR1	0.810331	0.948551	23.696	18.2137	0.395922	0.00314114	1.016	5	0	0	1	1	0
KLHL23	0.798366	0.945033	23.8753	18.0135	0.398141	0.00319593	0.651	3	0	0	1	1	0
CCDC85A	15.907	0.931037	1.21151	17.9425	0.400335	0.00320741	0.887	4	1	0	0	1	0
ABCE1	16.4895	0.939026	1.15839	17.9366	0.402497	0.00320793	0.314	1	1	0	0	1	0
SAMD11	0.724548	0.922463	26.5549	17.7485	0.404645	0.0032528	1.28	7	0	0	2	4	4
CDC25A	0.793493	0.943589	23.5457	17.6294	0.406772	0.00327472	0.375	1	0	0	1	1	0
HNRNPU	14.8591	0.916118	1.27888	17.409	0.408888	0.00331933	0.114	0	1	0	1	0	0
SESN1	0.788992	0.942251	23.3544	17.3623	0.410978	0.00333003	0.658	3	0	0	1	1	0
NXPE3	0.762453	0.934245	24.3669	17.357	0.413039	0.00333264	0.628	3	0	0	1	3	1
EGR1	15.2037	0.921105	1.22561	17.1637	0.415089	0.00337464	0.59	3	1	0	0	1	0
RNF220	15.1265	0.919994	1.23085	17.1288	0.417113	0.00338325	0.202	0	1	0	0	1	0
GPS1	15.1973	0.921014	1.21654	17.0279	0.419118	0.00340517	0.231	0	1	0	0	1	0
U2SURP	14.0198	0.903614	1.33994	16.9751	0.4211	0.00341508	0.077	0	1	0	1	0	0
HK1	0.564012	0.867095	34.0008	16.6281	0.423084	0.00348969	0.334	1	0	0	1	2	0
ZNF200	0.846683	0.959022	20.1901	16.3941	0.42506	0.00354631	1.16	6	0	0	0	5	0
NLGN1	14.8361	0.915782	1.19952	16.2974	0.427019	0.00356927	0.372	1	1	0	0	1	0
DMWD	14.3535	0.908649	1.23972	16.1688	0.428962	0.00360292	0.515	2	1	0	0	1	0
AGAP1	254.133	0.865074	0.0734993	16.1583	0.43088	0.00360344	0.231	0	2	0	0	0	0
RNF167	0.836036	0.955989	20.1593	16.1122	0.432778	0.00361544	0.626	3	0	0	0	5	0
GATAD2B	0.731423	0.924631	23.3328	15.7799	0.434678	0.00368719	0.097	0	0	0	1	1	0
ARHGAP8	0.704186	0.915953	24.3089	15.6793	0.436561	0.00371197	1.751	8	0	0	1	3	1
PYGL	14.173	3.80752	0.288728	15.5809	0.438429	0.00374041	0.965	5	1	1	0	1	1
FZD8	16.3065	0.936539	1.01388	15.4837	0.440281	0.00376102	0.423	2	1	0	0	1	0
GLIS1	14.6942	0.913701	1.14183	15.3303	0.442121	0.00379676	0.609	3	1	0	0	1	0
LCP1	0.772165	0.937197	21.0828	15.257	0.443945	0.00381242	0.399	1	0	0	1	1	0
ZNF672	0.66837	0.904175	24.9055	15.051	0.445763	0.00385755	0.729	3	0	0	1	1	0
VPS35	14.979	0.917862	1.09396	15.0404	0.447559	0.00386225	0.313	1	1	0	0	1	0
ALK	0.439904	0.81603	41.8933	15.0386	0.449333	0.00386303	0.448	2	0	0	1	3	0
GPAM	14.7968	0.915208	1.10323	14.9401	0.451093	0.00388729	0.677	3	1	0	0	1	0
TNS4	0.707982	0.917177	22.4835	14.5996	0.452859	0.00397939	0.751	4	0	0	1	1	0
CHAMP1	0.704793	0.91615	22.3011	14.3998	0.454619	0.00402844	0.271	1	0	0	1	1	0
ZBTB41	14.6151	0.912537	1.06223	14.1668	0.456377	0.00408531	0.414	1	1	0	0	1	0
BAIAP2	0.691336	0.911777	22.1361	13.9533	0.459855	0.00415053	0.429	2	0	0	1	1	0
USP34	106.956	0.715382	0.181763	13.9075	0.461571	0.00416462	0.091	0	2	0	0	1	0
DNM1L	0.720413	0.921151	20.9463	13.9001	0.463268	0.00416801	0.505	2	0	0	1	1	0
PRKD3	14.098	0.904801	1.05602	13.4704	0.464979	0.00428359	0.461	2	1	0	0	1	0
GAL3ST4	0.750697	0.930636	19.0326	13.2967	0.466684	0.0043342	1.34	7	0	0	0	5	0
MAP4K4	257.279	0.867459	0.0585033	13.0567	0.468388	0.0044036	0.175	0	2	0	0	0	0
CUL3	0.708135	0.917226	19.8431	12.8885	0.470085	0.00445004	0.228	0	0	0	1	1	0
MYRF	10.7343	17.737	0.0655348	12.4774	0.471797	0.00457083	0.117	0	1	2	0	0	0
ZFR2	0.557319	0.864557	25.8143	12.4382	0.473492	0.00458257	1.271	7	0	0	0	6	0
PRDM1	13.1765	0.890495	1.05243	12.3487	0.475175	0.00461101	0.333	1	1	0	0	1	0
MED13L	0.351042	3.09379	11.1971	12.1606	0.476854	0.00466997	0.064	0	0	1	2	0	0
FLT1	0.538073	0.857135	26.079	12.0277	0.478525	0.00471824	0.246	0	0	0	1	4	1
VPS16	0.608638	3.68508	5.24751	11.7695	0.480198	0.00480146	0.818	4	0	1	1	1	1
GRIK5	11.3155	0.859249	1.20968	11.7614	0.481854	0.00480329	0.285	1	1	0	1	0	0
ANKRD23	0.850035	0.959971	14.2526	11.6303	0.483502	0.00484686	1.878	9	0	0	1	2	1
SART1	0.603995	0.881832	21.7855	11.6034	0.485134	0.00485494	0.337	1	0	0	2	0	0
SLIT3	8.69058	0.808126	1.63585	11.4887	0.486757	0.00488938	0.318	1	1	0	1	0	1
RPUSD4	0.822394	0.952062	14.4787	11.3364	0.488375	0.00494078	1.162	6	0	0	1	2	1
IPO9	12.9963	0.887616	0.974094	11.2369	0.489984	0.00496791	0.23	0	1	0	0	1	0
SPRED2	0.721169	3.89237	3.96605	11.1329	0.491584	0.00500417	1.07	5	0	1	1	0	1
SDCCAG8	0.758842	0.93314	15.4998	10.9755	0.493179	0.00506731	0.784	4	0	0	0	5	0
EDC4	9.65589	0.82808	1.36499	10.9143	0.494762	0.00509131	0.36	1	1	0	0	2	0
CBL	0.644868	0.896202	18.5034	10.6937	0.496346	0.00517375	0.503	2	0	0	1	1	0
CDKL2	0.831682	0.95474	13.1935	10.4761	0.497931	0.00525907	1.431	7	0	0	1	2	1
CTBP2	0.505895	0.844295	24.4903	10.4604	0.4995	0.00527028	0.528	2	0	0	1	1	0
ZNF628	10.8752	0.851321	1.12346	10.4014	0.501058	0.00529559	0.359	1	1	0	1	0	0
LPO	0.694621	0.91285	16.1119	10.2163	0.502615	0.00536212	1.15	6	0	0	0	5	0
SYCE1L	0.920941	0.979467	11.2343	10.1337	0.504162	0.00539369	1.733	8	0	0	0	4	0
PHF14	0.725812	0.922862	14.65	9.8129	0.505718	0.00551865	0.395	1	0	0	0	5	0
USP8	0.638709	0.894078	17.0736	9.74997	0.50879	0.0055497	0.113	0	0	0	1	1	0
TLCD2	0.883488	0.969306	11.3349	9.70687	0.510308	0.00557631	1.696	8	0	0	0	4	0
SMCO2	0.887909	0.970521	11.0702	9.5396	0.511824	0.00565432	1.516	8	0	0	0	4	0
NOD1	0.563608	0.866943	19.4127	9.48536	0.51333	0.00568693	1.165	6	0	0	1	3	1
GSTK1	0.857718	0.962138	11.4353	9.43693	0.514824	0.00571537	1.352	7	0	0	0	4	0
CYBA	0.862485	0.963475	11.3021	9.39181	0.516308	0.00573833	1.626	8	0	0	0	4	0
ZNF510	0.778467	0.939099	12.708	9.29025	0.519247	0.00578607	0.947	5	0	0	1	2	1
SGCG	0.872293	0.96621	10.9446	9.22434	0.520701	0.00582781	1.046	5	0	0	0	4	0
OR51T1	0.856845	0.961892	11.1394	9.18102	0.522144	0.00584894	1.802	9	0	0	0	4	0
TMPRSS12	0.862683	0.963531	10.9102	9.06877	0.523582	0.00589982	1.42	7	0	0	0	4	0
TBC1D17	0.658315	0.900788	15.1463	8.98181	0.525012	0.00593556	1.206	6	0	0	0	5	0
AKR1E2	0.863397	0.96373	10.708	8.90992	0.526435	0.00597	1.419	7	0	0	0	4	0
SH3GL3	0.858678	0.962407	10.6109	8.76885	0.527855	0.00603235	0.803	4	0	0	0	4	0
POLE	5.03995	2.7877	0.62114	8.72692	0.529265	0.00605661	0.64	3	1	1	1	1	2
AP1G2	0.654989	0.89966	14.4936	8.54061	0.530676	0.00616332	1.234	6	0	0	0	5	0
NODAL	0.837011	0.956268	10.6363	8.51339	0.532076	0.0061808	0.31	1	0	0	0	4	0
UCP3	0.815984	0.950201	10.7855	8.36256	0.536225	0.00628724	1.737	8	0	0	0	4	0
SLX4IP	0.837219	0.956327	10.3882	8.31735	0.537589	0.00631724	1.491	8	0	0	0	4	0
KIF5A	11.6309	0.864793	0.823525	8.28327	0.538943	0.00634542	0.228	0	1	0	0	1	0
XDH	0.512545	0.846995	18.8929	8.20186	0.54029	0.00639395	0.857	4	0	0	0	6	0
ACADM	0.837024	0.956271	10.1482	8.12281	0.541632	0.00643204	1.153	6	0	0	0	4	0
TMPRSS11B	0.850749	0.960173	9.93938	8.11915	0.542962	0.00643439	1.747	8	0	0	0	4	0
AXIN2	0.597596	3.66347	3.69337	8.08579	0.544283	0.00645239	0.396	1	0	1	0	3	0
USP16	0.727224	0.923309	12.041	8.08499	0.545592	0.00645317	0.749	4	0	0	1	4	2
EYA1	0.75351	0.931503	11.4069	8.00649	0.546895	0.00650196	0.332	1	0	0	1	2	1
SLC24A1	0.614757	0.885681	14.4171	7.84981	0.548198	0.00660031	0.569	2	0	0	0	5	0
PDE6B	0.575691	0.871474	15.4982	7.77543	0.549495	0.00666032	1.187	6	0	0	1	3	1
HIRA	0.564029	0.867102	15.8846	7.76869	0.550782	0.0066671	0.136	0	0	0	1	1	0
RAF1	0.717065	124.663	0.0865692	7.73852	0.552059	0.00669502	0.354	1	0	3	0	0	0
UQCRC2	0.818751	0.951005	9.88978	7.70054	0.553329	0.00674067	0.834	4	0	0	0	4	0
NOTCH2	6.22676	2.96817	0.415204	7.67384	0.554589	0.00677146	0.116	0	1	1	0	3	1
MAPK12	0.808874	0.948125	9.9915	7.66261	0.555839	0.00678763	0.991	5	0	0	0	4	0
FUZ	0.813872	0.949586	9.85034	7.61275	0.558313	0.00682051	0.91	4	0	0	0	4	0
GPATCH1	0.631652	0.891628	13.4791	7.59141	0.559537	0.0068359	0.689	3	0	0	0	5	0
MPP4	0.755587	0.932142	10.7142	7.54614	0.561959	0.00686173	1.056	5	0	0	1	2	1
ARHGAP35	0.465818	0.827466	19.3859	7.47225	0.563161	0.00692147	0.057	0	0	0	2	0	0
FIG4	13.8805	0.901487	0.592983	7.42005	0.564356	0.00695695	1.24	6	1	0	0	2	1
NEURL4	7.63354	0.78434	1.23101	7.37039	0.565546	0.0070013	0.214	0	1	0	0	2	0
TRRAP	920.721	0.592078	0.0133658	7.28618	0.566731	0.007054	0.06	0	3	0	0	0	0
CTDSPL2	17.3649	4.05415	0.103455	7.28327	0.567907	0.00705714	0.174	0	1	1	0	0	0
RPS24	0.874145	0.966724	8.55662	7.23084	0.569077	0.00710357	0.591	3	0	0	1	1	1
BCAT2	0.783584	0.940635	9.72026	7.16447	0.570242	0.00716384	1.22	6	0	0	0	4	0
ASXL1	0.462801	0.826158	18.3731	7.02491	0.571407	0.00730524	0.794	4	0	0	2	0	0
FZD3	0.722628	3.89492	2.4953	7.02321	0.572563	0.00730864	0.62	3	0	1	0	2	0
MMP25	0.733775	3.91428	2.42711	6.97115	0.573714	0.00734855	1.245	6	0	1	0	2	0
SHCBP1L	0.745103	3.93376	2.3564	6.90675	0.57486	0.00740412	1.373	7	0	1	0	2	0
KCTD20	17.2924	0.949715	0.415581	6.82504	0.577134	0.00748004	0.792	4	1	0	0	1	1
PCCB	0.764887	0.934987	9.199	6.57875	0.578276	0.00768223	0.894	4	0	0	0	4	0
RECQL	0.770363	0.936651	9.05315	6.5324	0.579411	0.00773415	1.308	7	0	0	0	4	0
ZNF79	0.777142	0.9387	8.71877	6.36037	0.58055	0.00790973	0.686	3	0	0	0	4	0
MON2	10.9108	0.851969	0.672741	6.25357	0.58281	0.00803887	0.32	1	1	0	0	1	0
NR6A1	16.8008	4.01285	0.0925047	6.23657	0.583931	0.00806444	0.305	1	1	1	0	0	0
FEZ1	0.824466	4.06525	1.85653	6.22247	0.585044	0.00807566	0.414	1	0	1	1	0	0
NEU4	0.681578	0.908569	10.009	6.19817	0.58615	0.00809523	1.606	8	0	0	0	4	0
CCR2	0.841211	0.957466	7.66749	6.17564	0.58725	0.00811636	0.976	5	0	0	1	1	1
SMARCC1	0.609001	18.9248	0.524158	6.04103	0.58835	0.00827498	0.116	0	0	2	0	4	2
SIRT2	16.9608	0.945344	0.3753	6.01748	0.589443	0.00830472	0.957	5	1	0	0	1	1
ATP8B4	0.608899	0.883592	11.1388	5.99287	0.59053	0.00833577	1.094	6	0	0	0	7	1
TENM4	4.07713	2.61914	0.557798	5.95648	0.591611	0.00838612	0.173	0	1	1	0	2	0
BOK	0.888121	4.16504	1.59527	5.901	0.592688	0.00845265	1.017	5	0	1	0	1	0
MVK	0.800995	0.945809	7.76119	5.87979	0.593758	0.00847456	0.545	2	0	0	1	1	1
GRIK3	11.5884	3.57966	0.141674	5.87702	0.59482	0.00847795	0.192	0	1	1	0	0	1
GOSR1	0.884739	4.15985	1.56076	5.74418	0.597977	0.00865693	0.642	3	0	1	0	1	0
CCDC18	0.597158	0.879362	10.8889	5.71797	0.599019	0.00869032	0.967	5	0	0	0	7	1
ZNF766	0.838926	0.956815	7.06646	5.67222	0.600056	0.00876494	1.868	9	0	0	1	1	1
GAN	15.4461	3.90984	0.0937517	5.66181	0.601087	0.00878111	0.5	2	1	1	0	0	0
LZIC	0.939007	0.984265	6.10628	5.64362	0.602111	0.00880929	1.14	6	0	0	0	3	0
RNF181	0.934307	0.983023	6.12135	5.62212	0.603129	0.00884294	1.795	9	0	0	0	3	0
TSEN2	0.799395	0.945337	7.38787	5.583	0.604142	0.0088993	1.144	6	0	0	1	1	1
TTC36	0.934146	0.98298	6.02124	5.52899	0.605152	0.00898956	1.588	8	0	0	0	3	0
